product_id,total_revenue,total_quantity_sold,total_orders,avg_unit_price,first_order_date,last_order_date,product_name,category_id
169,282061.41,192,104,1514.83,2023-01-04,2025-06-17,Summit Pull-Up Bar Max,14
22,247214.42,176,92,1454.63,2023-01-04,2025-06-08,PrimeChoice Office Chair Plus,7
104,212831.79,170,94,1293.81,2023-01-14,2025-06-30,CoreFit Treadmill Plus,14
15,203321.67,152,77,1396.92,2023-01-10,2025-06-29,PrimeChoice Shoe Rack Lite,7
136,183134.97,165,87,1156.52,2023-01-10,2025-05-25,NovaBrand Standing Desk Plus,7
11,158104.4,160,88,1036.41,2023-01-22,2025-06-29,TechPro Shoe Rack Mini,7
71,155823.72,177,89,917.15,2023-01-01,2025-06-26,NovaBrand Coffee Table Lite,7
142,139294.45,172,86,853.52,2023-01-17,2025-06-24,NatureLux Shoe Rack Mini,7
94,126757.28,169,90,774.8,2023-01-14,2025-06-26,Zenith Mechanical Keyboard Mini,2
145,120316.03,169,87,748.7,2023-01-02,2025-06-30,Summit Mechanical Keyboard,2
13,116262.75,165,81,737.24,2023-01-11,2025-06-10,NatureLux Mechanical Keyboard Max,2
87,111501.67,163,92,718.67,2023-01-14,2025-06-30,PrimeChoice Shoe Rack V2,7
9,104971.94,180,88,605.2,2023-01-04,2025-06-08,UrbanEdge Webcam Max,2
44,104886.82,167,82,648.25,2023-02-16,2025-06-21,DigitalWave Treadmill Max,14
195,95635.02,164,80,612.26,2023-01-09,2025-06-23,TechPro Mechanical Keyboard Mini,2
32,94639.51,175,89,559.17,2023-01-12,2025-06-30,EcoSmart GPS Watch Pro,5
21,92414.45,162,90,599.51,2023-01-05,2025-06-19,EcoSmart Coffee Table,7
66,91773.66,151,84,638.87,2023-01-13,2025-06-26,DigitalWave Monitor Arm Max,2
100,87013.38,142,82,635.83,2023-01-22,2025-06-20,TechPro Webcam,2
45,83232.53,142,84,608.87,2023-01-04,2025-06-22,UrbanEdge Monitor Arm Lite,2
36,81362.65,172,89,492.51,2023-01-26,2025-06-13,DigitalWave Earbuds Pro Lite,4
33,80936.72,173,86,483.06,2023-01-02,2025-06-23,EcoSmart Fitness Band Plus,5
86,78198.04,146,68,554.99,2023-01-06,2025-06-26,DigitalWave Webcam Lite,2
166,76868.58,143,76,561.7,2023-01-16,2025-06-25,DigitalWave Office Chair V2,7
160,71262.27,139,71,537.22,2023-01-13,2025-06-21,EcoSmart Webcam V2,2
155,71221.19,187,92,393.27,2023-01-01,2025-06-30,EcoSmart Standing Desk V2,7
55,69775.54,179,95,403.21,2023-01-09,2025-06-21,NovaBrand Microphone Mini,4
67,66889.96,146,83,481.05,2023-02-04,2025-06-13,DigitalWave Microphone,4
140,65509.53,178,90,381.98,2023-01-03,2025-06-27,DigitalWave Mechanical Keyboard Lite,2
151,60998.72,170,89,371.83,2023-01-03,2025-06-20,Summit Monitor Arm Plus,2
159,58224.53,147,81,413.38,2023-01-22,2025-06-19,NovaBrand Bookshelf Mini,7
143,55282.21,153,80,373.15,2023-01-17,2025-06-19,PrimeChoice Wireless Headphones Plus,4
64,54661.11,121,71,472.03,2023-01-18,2025-06-26,TechPro Monitor Arm,2
127,54211.9,164,97,344.75,2023-01-30,2025-06-29,Zenith Gaming Mouse Plus,2
157,53356.09,159,85,348.05,2023-01-03,2025-06-09,CoreFit Wireless Headphones Lite,4
115,52872.87,153,79,361.03,2023-01-24,2025-06-23,Summit Webcam,2
34,52410.92,161,86,340.22,2023-01-04,2025-06-07,TechPro Sleeping Bag V2,15
90,51369.01,179,100,295.99,2023-01-17,2025-06-23,TechPro Camping Stove Plus,15
76,50988.11,145,82,367.35,2023-01-31,2025-06-22,UrbanEdge Webcam V2,2
7,49357.95,159,80,322.18,2023-01-12,2025-06-01,CoreFit Mechanical Keyboard V2,2
189,47754.93,153,83,325.75,2023-01-04,2025-06-19,NatureLux Instant Pot Mini,8
144,46128.48,98,52,490.99,2023-01-07,2025-06-30,CoreFit Sleeping Bag Mini,15
25,46046.25,144,73,334.76,2023-01-02,2025-06-20,UrbanEdge Gaming Mouse V2,2
107,45974.81,166,84,290.98,2023-01-21,2025-06-27,Zenith Monitor Arm V2,2
95,44086.81,183,103,250.28,2023-01-03,2025-06-16,Zenith Air Purifier Max,6
102,42398.33,157,89,280.97,2023-01-06,2025-06-09,TechPro Dumbbell Set Pro,14
35,41788.04,201,96,217.25,2023-02-05,2025-06-02,TechPro Shoe Rack Plus,7
12,40898.2,145,69,292.13,2023-01-13,2025-06-12,UrbanEdge Humidifier,6
88,40593.99,151,78,284.67,2023-01-04,2025-05-29,CoreFit Chinos,11
186,39582.2,178,87,230.8,2023-01-06,2025-06-28,TechPro Gaming Mouse V2,2
147,39577.42,174,96,235.37,2023-01-19,2025-06-17,NatureLux Monitor Arm Plus,2
172,39149.62,168,80,243.09,2023-01-03,2025-06-19,UrbanEdge Denim Jeans Max,11
176,38840.97,160,88,253.78,2023-01-06,2025-06-08,UrbanEdge Kitchen Scale Plus,8
130,38505.86,151,82,268.99,2023-01-14,2025-06-24,Zenith Headlamp,15
141,38236.68,130,68,301.67,2023-02-06,2025-06-17,DigitalWave Monitor Arm,2
103,36247.42,122,72,311.94,2023-01-05,2025-06-30,NovaBrand Smart Watch Pro Pro,5
132,35454.98,179,96,203.94,2023-01-10,2025-06-16,DigitalWave Microphone V2,4
117,33900.14,160,83,217.03,2023-01-31,2025-05-25,NatureLux Smart Plug Lite,6
58,33579.65,169,82,207.09,2023-01-07,2025-06-23,DigitalWave Humidifier Max,6
69,32646.43,166,87,205.13,2023-01-04,2025-06-02,DigitalWave Smart Plug Plus,6
75,32621.14,137,76,247.13,2023-01-11,2025-06-05,NatureLux Camping Tent Pro,15
97,32479.35,138,70,246.71,2023-01-02,2025-03-10,NatureLux Standing Desk V2,7
29,31547.01,194,104,168.43,2023-01-10,2025-06-23,Zenith Phone Case,3
68,30574.68,163,88,193.94,2023-01-09,2025-06-29,Zenith Coffee Maker,8
116,29131.87,188,99,162.43,2023-01-06,2025-06-20,TechPro GPS Watch,5
80,28781.68,171,88,174.54,2023-01-04,2025-05-31,Summit Humidifier Plus,6
173,28747.35,156,82,193.0,2023-01-07,2025-06-23,EcoSmart Handbag Lite,12
184,27884.38,163,82,178.46,2023-01-09,2025-06-19,UrbanEdge Webcam Lite,2
168,27695.78,148,75,193.88,2023-01-12,2025-06-30,NatureLux Blender Pro Lite,8
190,27629.8,136,70,212.7,2023-01-13,2025-06-16,DigitalWave Bookshelf,7
27,27016.9,148,87,191.27,2023-01-02,2025-06-24,UrbanEdge Thermostat Pro,6
192,26863.39,160,89,173.48,2023-01-06,2025-06-06,TechPro Air Fryer Pro,8
131,26085.46,160,93,171.22,2023-01-18,2025-05-11,UrbanEdge Seat Cushion,20
6,25974.4,195,103,139.46,2023-01-07,2025-06-30,Summit Heart Monitor Pro,5
118,25405.7,146,77,181.21,2023-01-04,2025-06-24,Summit LED Strip Lights Mini,6
182,25298.39,147,84,178.22,2023-01-07,2025-06-19,Zenith Phone Case V2,3
163,25264.06,174,94,150.83,2023-01-02,2025-06-01,Summit String Lights Mini,9
59,24754.06,217,104,117.82,2023-01-10,2025-06-23,UrbanEdge Stylus Pen Max,3
14,24733.28,171,87,150.4,2023-01-04,2025-06-07,NovaBrand Fast Charger,3
96,24627.46,140,81,183.24,2023-01-04,2025-06-19,CoreFit Desk Lamp Pro,9
